"Colorado Medicaid Fee Schedule January 1, 2012",,,,,,,,,
"The reimbursement rates listed in this fee schedule are valid for services rendered on or after January 1, 2012.  Please refer to the Fee Schedule Instructions on the website for an explanation of each field.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
CPT or HCPCS Procedure Code,Procedure Code Modifier,Base Value,Conversion Factor,Total CO Medicaid Allowable (Relative Value x Conversion Factor),Min Age,Max Age,Post Op Days,Prior Authorization Needed,
00640,,3,20.17,Varies based on total anesthesia time,0,999,0,No,
00670,,13,20.17,Varies based on total anesthesia time,0,999,0,No,
00700,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
00702,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
0071T,,20.93,32.47,$679.60,0,999,0,No,
0072T,,20.93,32.47,$679.60,0,999,0,No,
00730,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
0073T,,14.63,32.47,$475.04,0,999,0,No,
00740,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
00750,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
00752,,6,20.17,Varies based on total anesthesia time,0,999,0,No,
00754,,7,20.17,Varies based on total anesthesia time,0,999,0,No,
00756,,7,20.17,Varies based on total anesthesia time,0,999,0,No,
0075T,,21.25,32.47,$689.99,0,999,0,No,
0076T,,2.51,32.47,$81.50,0,999,0,No,
00770,,15,20.17,Varies based on total anesthesia time,0,999,0,No,
0078T,,34.75,32.47,"$1,128.33",0,999,0,No,
00790,,7,20.17,Varies based on total anesthesia time,0,999,0,No,
00792,,13,20.17,Varies based on total anesthesia time,0,999,0,No,
00794,,8,20.17,Varies based on total anesthesia time,0,999,0,No,
00796,,30,20.17,Varies based on total anesthesia time,0,999,0,No,
00797,,10,20.17,Varies based on total anesthesia time,0,999,0,No,
0079T,,35.21,32.47,"$1,143.27",0,999,0,No,
00800,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
00802,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
0080T,,6.82,32.47,$221.45,0,999,0,No,
00810,,6,20.17,Varies based on total anesthesia time,0,999,0,No,
0081T,,6.82,32.47,$221.45,0,999,0,No,
00820,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
00830,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
00832,,6,20.17,Varies based on total anesthesia time,0,999,0,No,
00834,,6,20.17,Varies based on total anesthesia time,0,0,0,No,
00836,,6,20.17,Varies based on total anesthesia time,0,1,0,No,
00840,,6,20.17,Varies based on total anesthesia time,0,999,0,No,
00842,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
00844,,7,20.17,Varies based on total anesthesia time,0,999,0,No,
00846,,8,20.17,Varies based on total anesthesia time,0,999,0,No,
00848,,8,20.17,Varies based on total anesthesia time,0,999,0,No,
00851,,7,20.17,Varies based on total anesthesia time,21,999,0,No,
0085T,,16.54,1.00,$16.54,0,999,0,No,
00860,,6,20.17,Varies based on total anesthesia time,0,999,0,No,
00862,,7,20.17,Varies based on total anesthesia time,0,999,0,No,
00864,,8,20.17,Varies based on total anesthesia time,0,999,0,No,
00865,,8,20.17,Varies based on total anesthesia time,0,999,0,No,
00866,,10,20.17,Varies based on total anesthesia time,0,999,0,No,
00868,,10,20.17,Varies based on total anesthesia time,0,999,0,No,
00870,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
00872,,7,20.17,Varies based on total anesthesia time,0,999,0,No,
00873,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
00880,,15,20.17,Varies based on total anesthesia time,0,999,0,No,
00882,,10,20.17,Varies based on total anesthesia time,0,999,0,No,
00902,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
00904,,7,20.17,Varies based on total anesthesia time,0,999,0,No,
00906,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
00908,,6,20.17,Varies based on total anesthesia time,0,999,0,No,
00910,,3,20.17,Varies based on total anesthesia time,0,999,0,No,
00912,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
00914,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
00916,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
00918,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
00920,,3,20.17,Varies based on total anesthesia time,0,999,0,No,
00921,,3,20.17,Varies based on total anesthesia time,21,999,0,No,
00922,,6,20.17,Varies based on total anesthesia time,0,999,0,No,
00924,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
00926,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
00928,,6,20.17,Varies based on total anesthesia time,0,999,0,No,
0092T,,6.32,32.47,$205.21,0,999,0,No,
00930,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
