,,,,,,,,,
"The reimbursement rates listed in this fee schedule are valid for services rendered on or after July 1, 2015 Please refer to the Fee Schedule Instructions on the website for an explaination of each field",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
CPT or HCPCS Procedure Code,Procedure Code Modifier,Base Value,Conversion Factor,Total CO Medicaid Allowable (Base Value x Conversion Factor),Min Age,Max Age,Post Op Days,Prior Authorization Needed,
00563,,25.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00566,,25.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00567,,21.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00580,,20.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00600,,10.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00604,,13.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00620,,10.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00622,,13.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00625,,13.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00626,,15.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00630,,8.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00632,,7.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00634,,10.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00635,,10.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00640,,3.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00670,,13.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00700,,4.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00702,,4.00,28.61,Varies based on total anesthesia time,000,999,000,No,
0071T,,20.93,33.94,$710.36,000,999,000,No,
0072T,,20.93,33.94,$710.36,000,999,000,No,
00730,,5.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00740,,5.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00750,,4.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00752,,6.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00754,,7.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00756,,7.00,28.61,Varies based on total anesthesia time,000,999,000,No,
0075T,,21.25,33.94,$721.23,000,999,000,No,
0076T,,2.51,33.94,$85.19,000,999,000,No,
00770,,15.00,28.61,Varies based on total anesthesia time,000,999,000,No,
