"Colorado Medicaid Fee Schedule January 1, 2014",,,,,,,,,,,,
"The reimbursement rates listed in this fee schedule are valid for services rendered on or after January 1, 2014  Please refer to the Fee Schedule Instructions on the website for an explaination of each field",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
CPT or HCPCS Procedure Code,Procedure Code Modifier,Base Value,Conversion Factor,Total CO Medicaid Allowable (Base Value x Conversion Factor),Min Age,Max Age,Post Op Days,Prior Authorization Needed,,,,
00560,,15.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00561,,25.00,20.57,Varies based on total anesthesia time,000,1,000,No,,,,
00562,,20.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00563,,25.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00566,,25.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00567,,21.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00580,,20.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00600,,10.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00604,,13.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00620,,10.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00622,,13.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00625,,13.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00626,,15.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00630,,8.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00632,,7.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00634,,10.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00635,,10.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00640,,3.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00670,,13.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00700,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00702,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
0071T,,20.93,33.11,$692.99,000,999,000,No,,,,
0072T,,20.93,33.11,$692.99,000,999,000,No,,,,
00730,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
0073T,,14.63,33.11,$484.40,000,999,000,No,,,,
00740,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00750,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00752,,6.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00754,,7.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00756,,7.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
0075T,,21.25,33.11,$703.59,000,999,000,No,,,,
0076T,,2.51,33.11,$83.11,000,999,000,No,,,,
00770,,15.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00790,,7.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00792,,13.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00794,,8.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00796,,30.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00797,,10.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00800,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00802,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00810,,6.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00820,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00830,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00832,,6.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00834,,6.00,20.57,Varies based on total anesthesia time,000,0,000,No,,,,
00836,,6.00,20.57,Varies based on total anesthesia time,000,1,000,No,,,,
00840,,6.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00842,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00844,,7.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00846,,8.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00848,,8.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00851,,7.00,20.57,Varies based on total anesthesia time,021,999,000,No,,,,
0085T,,16.87,1.00,$16.87,000,999,000,No,,,,
00860,,6.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00862,,7.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00864,,8.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00865,,8.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00866,,10.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00868,,10.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00870,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00872,,7.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00873,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00880,,15.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00882,,10.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00902,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00904,,7.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00906,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00908,,6.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00910,,3.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00912,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00914,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00916,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00918,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00920,,3.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00921,,3.00,20.57,Varies based on total anesthesia time,021,999,000,No,,,,
00922,,6.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00924,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00926,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00928,,6.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
0092T,,6.32,33.11,$209.26,000,999,000,No,,,,
00930,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00932,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00934,,6.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00936,,8.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00938,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00940,,3.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00942,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00944,,6.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00948,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00950,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00952,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
0095T,,6.32,33.11,$209.26,000,999,000,No,,,,
0098T,,6.32,33.11,$209.26,000,999,000,No,,,,
0099T,,,,Not a benefit ,,,,,,,,
0100T,,,,Not a benefit ,,,,,,,,
0101T,,549.45,2.73,"$1,500.00",000,999,000,No,,,,
0102T,,549.45,2.73,"$1,500.00",000,999,000,No,,,,
0103T,,17.94,1.00,$17.94,000,999,000,No,,,,
0106T,,,,Not a benefit ,,,,,,,,
0107T,,,,Not a benefit ,,,,,,,,
0108T,,,,Not a benefit ,,,,,,,,
0109T,,,,Not a benefit ,,,,,,,,
0110T,,,,Not a benefit ,,,,,,,,
01112,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
0111T,,21.50,1.00,$21.50,000,999,000,No,,,,
01120,,6.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01130,,3.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01140,,15.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01150,,10.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01160,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01170,,8.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01173,,12.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01180,,3.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01190,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01200,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01202,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01210,,6.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01212,,10.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01214,,10.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01215,,10.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01220,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01230,,6.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01232,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01234,,8.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
0123T,,47.76,33.11,"$1,581.33",000,999,000,No,,,,
01250,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01260,,3.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
0126T,,32.38,2.73,$88.40,000,999,000,No,,,,
01270,,8.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01272,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01274,,6.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01320,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01340,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01360,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01380,,3.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01382,,3.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01390,,3.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01392,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01400,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01402,,7.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01404,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
0141T,,,,Code is manually priced,000,999,000,No,,,,
01420,,3.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
0142T,,,,Code is manually priced,000,999,000,No,,,,
01430,,3.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01432,,6.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01440,,8.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01442,,8.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01444,,8.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01462,,3.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01464,,3.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01470,,3.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01472,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01474,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01480,,3.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01482,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01484,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01486,,7.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01490,,3.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01500,,8.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01502,,6.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01520,,3.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01522,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
0152T,26,,,Code is manually priced,000,999,000,No,,,,
0152T,TC,,,Code is manually priced,000,999,000,No,,,,
0152T,,,,Code is manually priced,000,999,000,No,,,,
0159T,26,10.68,7.55,$80.63,000,999,000,Yes,,,,
0159T,TC,10.68,7.55,$80.63,000,999,000,Yes,,,,
0159T,,21.36,7.55,$161.27,000,999,000,Yes,,,,
01610,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01620,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01622,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01630,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01634,,9.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01636,,15.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01638,,10.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
0163T,,63.54,33.11,"$2,103.81",000,999,000,No,,,,
0164T,,,,Code is manually priced,000,999,000,No,,,,
01650,,6.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01652,,10.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01654,,8.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01656,,10.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
0165T,,,,Code is manually priced,000,999,000,No,,,,
01670,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01680,,3.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01682,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
0169T,,29.89,33.11,$989.66,000,999,000,No,,,,
01710,,3.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01712,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01714,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01716,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
0171T,,17.41,33.11,$576.45,000,999,000,No,,,,
0172T,,7.27,33.11,$240.71,000,999,000,No,,,,
01730,,3.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01732,,3.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01740,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01742,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01744,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
0174T,,2.48,7.55,$18.72,000,999,000,No,,,,
01756,,6.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01758,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
0175T,,,,Not a benefit ,,,,,,,,
01760,,7.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01770,,8.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01772,,6.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01780,,3.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01782,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
0178T,,17.37,7.55,$131.14,000,999,000,No,,,,
0179T,,11.50,7.55,$86.83,000,999,000,No,,,,
0180T,,5.87,7.55,$44.32,000,999,000,No,,,,
01810,,3.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
0181T,,139.79,2.73,$381.63,000,999,000,No,,,,
01820,,3.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01829,,3.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
0182T,,39.05,7.55,$294.83,000,999,000,No,,,,
01830,,3.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01832,,6.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01840,,6.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01842,,6.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01844,,6.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
0184T,,,,Code is manually priced,000,999,000,No,,,,
01850,,3.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01852,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01860,,3.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
0188T,,,,Not a benefit ,,,,,,,,
0189T,,,,Not a benefit ,,,,,,,,
0190T,,413.90,2.73,"$1,129.95",000,999,000,No,,,,
01916,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
0191T,,443.00,2.73,"$1,209.39",000,999,000,No,,,,
01920,,7.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01922,,7.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01924,,6.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01925,,8.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01926,,10.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01930,,7.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01931,,8.50,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01932,,8.50,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01933,,8.50,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01935,,8.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01936,,8.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01951,,9.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01952,,9.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01953,,9.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01958,,5.00,20.57,Varies based on total anesthesia time,011,70,000,No,,,,
0195T,,,,Code is manually priced,000,999,000,No,,,,
01960,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01961,,8.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01962,,8.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01963,,10.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01965,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01966,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01967,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01968,,3.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01969,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
0196T,,,,Code is manually priced,000,999,000,No,,,,
0197T,,,,Not a benefit ,,,,,,,,
0198T,,11.98,2.73,$32.71,000,999,000,No,,,,
01990,,,,Not a benefit ,,,,,,,,
01991,,3.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01992,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
01996,,12.18,1.00,$12.18,000,999,000,No,,,,
01999,,,,Varies based on total anesthesia time,000,999,000,No,,,,
0199T,,,,Not a benefit ,,,,,,,,
0200T,,,,Not a benefit ,,,,,,,,
0201T,,,,Not a benefit ,,,,,,,,
0202T,,,,Not a benefit ,,,,,,,,
0205T,,,,Not a benefit ,,,,,,,,
0206T,,,,Not a benefit ,,,,,,,,
0207T,,,,Not a benefit ,,,,,,,,
0208T,,,,Not a benefit ,,,,,,,,
0209T,,,,Not a benefit ,,,,,,,,
0210T,,,,Not a benefit ,,,,,,,,
0211T,,,,Not a benefit ,,,,,,,,
0212T,,,,Not a benefit ,,,,,,,,
0213T,,,,Not a benefit ,,,,,,,,
0214T,,,,Not a benefit ,,,,,,,,
0215T,,,,Not a benefit ,,,,,,,,
0216T,,,,Not a benefit ,,,,,,,,
0217T,,,,Not a benefit ,,,,,,,,
0218T,,,,Not a benefit ,,,,,,,,
0219T,,,,Not a benefit ,,,,,,,,
0220T,,,,Not a benefit ,,,,,,,,
0221T,,,,Not a benefit ,,,,,,,,
0222T,,,,Code is manually priced,000,999,000,No,,,,
0223T,,,,Code is manually priced,000,999,000,No,,,,
0224T,,,,Code is manually priced,000,999,000,No,,,,
0225T,,,,Code is manually priced,000,999,000,No,,,,
0226T,,,,Code is manually priced,000,999,000,No,,,,
0227T,,,,Code is manually priced,000,999,000,No,,,,
0228T,,,,Code is manually priced,000,999,000,No,,,,
0229T,,,,Code is manually priced,000,999,000,No,,,,
0230T,,,,Code is manually priced,000,999,000,No,,,,
0231T,,,,Code is manually priced,000,999,000,No,,,,
0232T,,,,Code is manually priced,000,999,000,No,,,,
0233T,,,,Code is manually priced,000,999,000,No,,,,
0234T,,,,Code is manually priced,000,999,000,No,,,,
0235T,,,,Code is manually priced,000,999,000,No,,,,
0236T,,,,Code is manually priced,000,999,000,No,,,,
0237T,,,,Code is manually priced,000,999,000,No,,,,
0238T,,,,Code is manually priced,000,999,000,No,,,,
0239T,,,,Code is manually priced,000,999,000,No,,,,
0240T,,,,Code is manually priced,000,999,000,No,,,,
0241T,,,,Code is manually priced,000,999,000,No,,,,
0243T,,,,Code is manually priced,000,999,000,No,,,,
0244T,,,,Code is manually priced,000,999,000,No,,,,
0245T,,,,Code is manually priced,000,999,000,No,,,,
0246T,,,,Code is manually priced,000,999,000,No,,,,
0247T,,,,Code is manually priced,000,999,000,No,,,,
0248T,,,,Code is manually priced,000,999,000,No,,,,
0249T,,,,Code is manually priced,000,999,000,No,,,,
0253T,,,,Code is manually priced,000,999,000,No,,,,
0254T,,,,Code is manually priced,000,999,000,No,,,,
0255T,,,,Code is manually priced,000,999,000,No,,,,
0261T,,,,Not a benefit ,,,,,,,,
0262T,,,,Code is manually priced,000,999,000,No,,,,
0263T,,,,Not a benefit ,,,,,,,,
0264T,,,,Not a benefit ,,,,,,,,
0265T,,,,Not a benefit ,,,,,,,,
0266T,,,,Not a benefit ,,,,,,,,
0267T,,,,Not a benefit ,,,,,,,,
0268T,,,,Not a benefit ,,,,,,,,
0269T,,,,Not a benefit ,,,,,,,,
0270T,,,,Not a benefit ,,,,,,,,
0271T,,,,Not a benefit ,,,,,,,,
0272T,,,,Not a benefit ,,,,,,,,
